3384,sci-fi
3281,based on a book
2917,atmospheric
2779,comedy
2657,action
2427,surreal
2334,BD-R
2323,twist ending
2072,funny
1991,dystopia
1941,stylized
1906,quirky
1899,dark comedy
1769,classic
1754,psychology
1703,fantasy
1549,time travel
1534,romance
1509,visually appealing
1487,disturbing
1428,aliens
1422,thought-provoking
1417,social commentary
1400,Nudity (Topless)
1336,violence
1312,drugs
1286,Criterion
1276,true story
1245,nudity (topless)
1243,adventure
1229,animation
1218,imdb top 250
1199,space
1199,CLV
1194,dark
1171,superhero
1126,black comedy
1116,World War II
1116,post-apocalyptic
1093,Betamax
1080,cult film
1068,satire
1032,tense
1026,thriller
1010,drama
1008,predictable
1000,politics
991,adapted from:book
989,bittersweet
983,horror
977,based on a true story
972,revenge
964,boring
959,cinematography
938,serial killer
938,great soundtrack
922,music
912,coming of age
905,high school
889,comic book
888,religion
885,violent
873,zombies
858,DVD-Video
848,mental illness
844,anime
844,franchise
841,dreamlike
835,alternate reality
819,friendship
816,murder
801,crime
800,war
796,Quentin Tarantino
793,nonlinear
789,psychological
789,Oscar (Best Picture)
788,parody
786,suspense
780,less than 300 ratings
777,black and white
756,R
740,erlend's DVDs
731,Johnny Depp
711,remake
705,magic
701,martial arts
697,Disney
688,multiple storylines
673,Brad Pitt
671,Bruce Willis
656,witty
645,humorous
645,Tumey's DVDs
642,seen more than once
641,inspirational
639,stupid
636,mystery
612,family
602,robots
599,police
590,hilarious
589,slow
587,Tom Hanks
587,history
570,DVD-RAM
569,organized crime
566,musical
566,great acting
554,Morgan Freeman
553,sequel
553,Japan
548,Pixar
548,ensemble cast
544,vampires
540,New York City
539,overrated
538,mindfuck
532,documentary
531,espionage
531,Nudity (Full Frontal)
525,Nudity (Topless - Brief)
524,future
521,artificial intelligence
518,Nudity (Topless - Notable)
513,philosophy
509,70mm
508,corruption
499,historical
490,Steven Spielberg
486,gay
485,beautiful
481,Edward Norton
479,satirical
477,movie to see
476,emotional
475,sexuality
473,Bill Murray
472,assassin
471,dialogue
471,Christian Bale
470,soundtrack
468,father-son relationship
467,fairy tale
467,original
463,Leonardo DiCaprio
462,sports
461,relationships
455,England
450,prison
449,racism
449,lesbian
446,Clint Eastwood
445,road trip
444,military
443,Tim Burton
442,acting
442,British
437,loneliness
434,rape
431,chick flick
428,story
428,Samuel L. Jackson
425,weird
419,Nudity (Full Frontal - Notable)
415,Jim Carrey
415,bad acting
414,Tom Cruise
414,silly
412,BD-Video
410,depressing
410,Matt Damon
409,Action
408,love
407,gore
403,Robert Downey Jr.
401,Stanley Kubrick
398,heist
398,whimsical
398,Natalie Portman
396,Robert De Niro
395,Harrison Ford
394,musicians
394,ghosts
392,small town
389,conspiracy
388,Christmas
385,biography
383,great ending
381,Studio Ghibli
381,Robin Williams
381,creepy
379,talking animals
373,philosophical
371,touching
369,might like
368,teen
367,gothic
367,cyberpunk
367,Martin Scorsese
366,Arnold Schwarzenegger
366,Bechdel Test:Fail
364,nudity (full frontal)
362,Coen Brothers
361,Jack Nicholson
358,reviewed
357,suicide
355,Al Pacino
355,Nicolas Cage
354,To See
353,survival
353,campy
352,Scarlett Johansson
352,library
351,clever
351,narrated
350,Kevin Spacey
350,reflective
349,National Film Registry
347,science fiction
343,Christianity
342,long
340,Romance
336,complicated
335,controversial
333,George Clooney
333,easily confused with other movie(s) (title)
333,based on a play
332,Nazis
332,adultery
331,directorial debut
330,heartwarming
327,noir thriller
327,surrealism
326,apocalypse
321,gritty
320,futuristic
318,rock and roll
317,Keanu Reeves
316,memory
315,Alfred Hitchcock
315,virtual reality
312,Stephen King
312,Woody Allen
311,queer
311,Oscar (Best Cinematography)
310,supernatural
310,DVD-R
308,netflix
305,dark humor
304,love story
304,children
302,hallucinatory
301,perrot library
301,Paris
301,visually stunning
300,low budget
300,ClearPlay
298,death
298,France
298,Comedy
