rating,movieTitle,movieId
5.0625,A Cinderella Story: Once Upon a Song (2011),118496
5.0625,Elle: A Modern Cinderella Tale (2011),116700
5.0625,Conspirators of Pleasure (Spiklenci slasti) (1996),45533
5.0625,"Harder They Come,6051
5.0625,Inequality for All (2013),105429
5.0625,Born in Flames (1983),36711
5.0625,Rent-a-Kid (1995),310
5.0625,"Docks of New York,71695
4.540000000000001,The War at Home (1979),120821
4.5,Jesse Stone: Sea Change (2007),99861
4.5,Cry_Wolf (a.k.a. Cry Wolf) (2005),36533
4.395833333333333,One Piece Film: Strong World (2009),106471
4.14,Ben X (2007),65037
4.125,"Old Lady and the Pigeons,113374
4.122448979591836,Connections (1978),86237
4.055555555555555,DMT: The Spirit Molecule (2010),98445
4.055555555555555,Louis Theroux: The Most Hated Family in America in Crisis (2011),94024
4.0,"Guru,6060
4.0,She and Her Cat (Kanojo to kanojo no neko) (1999),85330
4.0,Tarnation (2003),8938
4.0,Captain Blood (1935),8167
4.0,Godzilla vs. Hedorah (Gojira tai Hedorâ) (Godzilla vs. The Smog Monster) (1971) ,34057
4.0,He Died With a Felafel in His Hand (2001),27162
4.0,Burnt by the Sun (Utomlyonnye solntsem) (1994),213
4.0,Outfoxed: Rupert Murdoch's War on Journalism (2004),27912
4.0,Strangeland (1998),2298
4.0,Thursday (1998),27022
4.0,The Mascot (1934),130394
4.0,Shark Skin Man and Peach Hip Girl (Samehada otoko to momojiri onna) (1998),31881
4.0,"Rocks (Rad,72360
4.0,Svidd Neger (2003),27781
4.0,Naked Weapon (Chek law dak gung) (2002),27711
4.0,If These Walls Could Talk 2 (2000),27246
4.0,Général Idi Amin Dada: A Self Portrait (Général Idi Amin Dada: Autoportrait) (1974),26321
4.0,Beethoven's Big Break (2008),128173
4.0,Beethoven's 3rd (2000),128169
4.0,Princess Protection Program (2009),105075
4.0,Cat Ballou (1965),3873
4.0,The Epic of Everest (1924),126959
4.0,Never Sleep Again: The Elm Street Legacy (2010),101971
4.0,Brother (2000),4640
4.0,Metalhead (Málmhaus) (2013),112381
4.0,Apostle Peter and The Last Supper (2012),126403
4.0,"Last Trapper,98273
3.7600000000000002,Prison Break: The Final Break (2009),69654
3.7222222222222228,"Hole,81164
3.722222222222222,Monty Python Live (Mostly) (2014),112913
3.722222222222222,Satan's Tango (Sátántangó) (1994),33264
3.722222222222222,"Honest Liar,110669
3.671875,Grumpy Cat's Worst Christmas Ever (2014),117885
3.671875,Last Train Home (2009),74696
3.5625,"Occurrence at Owl Creek Bridge,26086
3.5555555555555554,"Armstrong Lie,107117
3.546875,Ocho apellidos vascos (2014),109971
3.546875,I Am Cuba (Soy Cuba/Ya Kuba) (1964),3245
3.5,"Complete History of My Sexual Failures,60014
3.5,First Daughter (2004),8869
3.5,"City of the Living Dead (a.k.a. Gates of Hell,3652
3.5,Beyond the Fear (2014),126385
3.5,National Theatre Live: Frankenstein,115685
3.5,Pinchcliffe Grand Prix (Flåklypa Grand Prix) (1975),69803
3.5,Big Fan (2009),72176
3.5,Saludos Amigos (1943),3611
3.4691358024691357,"Moment to Remember,60992
3.421875,Uncle Boonmee Who Can Recall His Past Lives (Loong Boonmee raleuk chat) (2010),81751
3.4218749999999996,Greed (1924),25753
3.3888888888888893,"House That Dripped Blood,40457
3.388888888888889,"Hamster Factor and Other Tales of Twelve Monkeys,79311
3.388888888888889,Angry Video Game Nerd: The Movie (2014),113889
3.388888888888889,Paulie (1998),1806
3.388888888888889,Bubble (2006),38188
3.388888888888889,More Than Honey (2012),106165
3.388888888888889,All-Star Superman (2011),84414
3.375,"Little Mermaid: Ariel's Beginning,96069
3.375,HE Who Gets Slapped (1924),25748
3.375,Citizen Toxie: The Toxic Avenger IV (2000),8258
3.3469387755102042,"Gods Must Be Crazy II,2151
3.3209876543209877,Patton Oswalt: Finest Hour (2011),120811
3.301038062283737,Gangs of Wasseypur (2012),97648
3.2600000000000002,"Scarecrow,82976
3.193877551020408,Zeitgeist: Addendum (2008),65225
3.1666666666666665,And Everything Is Going Fine (2010),84444
3.1666666666666665,Cheaper by the Dozen (1950),7395
3.1666666666666665,"Gas,47180
3.1666666666666665,Harsh Times (2006),49314
3.1666666666666665,Chasing Liberty (2004),7169
3.1666666666666665,Johnny Stecchino (1991),26732
3.1666666666666665,Tomie: Unlimited (2011),129405
3.1666666666666665,"Invisible,52712
3.1666666666666665,Liberty (1929),107890
3.1666666666666665,Mimino (1977),102602
3.1500000000000004,Patton Oswalt: Werewolves and Lollipops (2007),120815
3.148760330578513,"Room,74754
3.14,Smiley's People (1982),26453
3.125,Berserk: The Golden Age Arc 2 - The Battle for Doldrey (2012),130506
3.118055555555556,"Crazy Class Wakes Up,86083
3.1180555555555554,"Crimson Permanent Assurance,104520
3.090909090909091,"Dylan Moran: Yeah,92500
3.0833333333333326,Toy Story of Terror (2013),106022
3.0625,Toute la mémoire du monde (1956),115176
3.0625,Kissing a Fool (1998),1854
3.0625,Paper Planes (2015),125661
